"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",1.89669720079952,0.230497414546265,0.998689665241161,"Semicossyphus pulcher",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.73796272821949,-0.848828986590754,-0.915109388317486,"Strongylocentrotus purpuratus",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.48015794909889,0.208761071188098,-0.25282305538613,"Macrocystis pyrifera",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.166483236896877,-0.244045173167834,-0.0876603224039774,"Mesocentrotus franciscanus",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.77348400053337,0.642081889042269,-0.933812810002897,"Panulirus interruptus",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.39763263089999,0.230497414546265,0.735911490613924,"Semicossyphus pulcher",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.69979347758336,-0.848828986590754,-0.895011696327308,"Strongylocentrotus purpuratus",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.61588830382262,0.368040076613063,0.850832145759198,"Macrocystis pyrifera",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.05557009372273,-0.30744255082112,0.555801391542183,"Mesocentrotus franciscanus",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.06530590122973,0.747491652567815,0.560927697594575,"Panulirus interruptus",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.466961508954231,0.201498643020634,0.245874582859841,"Semicossyphus pulcher",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.01321142758567,-0.928705132002273,0.533497798703723,"Strongylocentrotus purpuratus",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.61588830382262,0.368040076613063,0.850832145759198,"Macrocystis pyrifera",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.506030779891374,-0.30744255082112,0.266446172830545,"Mesocentrotus franciscanus",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.00426248204655,0.747491652567815,0.528785808080778,"Panulirus interruptus",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.20396646508753,0.201498643020634,0.1073967951515,"Semicossyphus pulcher",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.38334747608652,-0.928705132002273,0.728389764703978,"Strongylocentrotus purpuratus",9,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.643824431889868,0.527319082038027,-0.339000240042078,"Macrocystis pyrifera",10,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.648324119870505,-0.370839928474406,-0.341369512206964,"Mesocentrotus franciscanus",10,"Abalone Cove SMCA","PISCO","pooled"
